"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
3117892.27347007,1716456.7204545,1362436.86679021,1682862.00812356,1215056.62682412,3623490.87181616,3011099.92857649,3265032.18845423,1430402.25038222,810811.453828523,686197.200264375,337329.74574013,717931.931433498,593384.226472617,161993.615524373,478942.903192771,779676.483500493,845649.272644549,274853.603514791,604284.397889702,290700.492594422,941709.390303599,4605319.95659589,3478574.6243165,1572350.8402879,920192.11311506,430341.596998216,395066.948537717,1003411.26166882,3085936.49909537,5677395.03926015,1017603.81615099,31514.0673846645,519427.400073971,560890.187579551
2934872.86279281,1649252.17711424,1666568.04197496,2220241.58627933,1211853.40921075,3428831.16305152,3097512.49942389,3179684.02490776,1515076.72293825,739879.270794858,691186.798862852,340602.481469986,676823.670057095,580025.584822257,132893.576284006,431624.684040213,680010.153099055,1040793.229858,285995.708313975,695577.411878331,268345.774722812,901072.671109612,4068738.45680275,3451573.29400266,1705249.03523293,1427306.63263094,462427.957786955,389994.162489168,823685.118148883,2699961.14256139,5342710.82084608,1097587.74168292,35314.8037628462,608254.787338828,551247.872671942
2965861.42753477,1993115.58957781,1372796.32382678,1673991.92443569,1161605.99949442,3076778.67286373,3344511.20104081,2857981.28182597,1301973.73554235,744719.162235953,744977.528024779,348203.242730325,698864.978609356,529323.130659061,193233.875276151,459335.715032685,704356.835016816,866661.929884551,256365.521654553,524150.045305328,276043.252695457,785281.849925939,4206928.0730241,3407716.74131297,1328801.32565128,1028131.04474114,513920.568399769,444003.675914885,785765.389670415,2586099.48526915,5101608.52337003,976081.513777147,28883.7805384649,503332.042804883,543966.08784865
2821512.94508552,1887568.27023887,1459407.33416825,1852481.09904048,1322825.16250106,2726159.17588571,3190056.9671905,2966493.40125933,1303945.6414754,699693.598300241,665463.459316873,359850.848613503,709550.456597396,455753.142085595,199988.947197015,490823.983276224,669011.698044714,832491.211131432,255895.158319074,545409.590749164,260875.752397719,686103.836606716,4366451.46049455,3519980.14300717,1394317.39472739,919014.34617794,426974.893839414,645056.111652825,770597.138534851,2746323.53573422,5260471.12966707,969979.792169832,41008.1341652206,512889.831323037,586367.789338479
2920844.76506751,1912580.4137188,1560654.70727951,1984624.01443867,1168605.8604488,2914836.27166507,3001465.81742336,3047104.88328672,1604908.67990603,880339.348410765,741676.926771386,347223.88810716,666230.510680502,528338.684650769,233421.019011337,619922.462620807,924111.298019049,900091.39219916,309581.054156065,668035.574574333,301013.045054159,888107.384231358,4659673.7026971,3723369.61258064,1371106.06137284,1084685.16490953,452567.705204092,417157.899210064,945369.252719186,3072346.24301401,4753982.4516232,1071861.32805343,35086.419132385,426599.056179527,545081.185666556
2787319.29034958,1842460.66041146,1517284.77044643,1919579.20035036,1212198.65804373,2688527.97287219,2949754.74699017,2872560.41995804,1414446.56333057,701151.077039851,606890.457078409,328999.001805682,627814.237517144,455357.139164854,161301.29406311,448984.003898397,667494.598221304,975176.436789574,286748.307223367,564012.07327179,273207.878682123,605913.061863196,4031647.3661659,4050810.75232424,1430928.38742506,980853.86636419,446539.443169421,374020.751002577,727405.795099567,2884835.16633352,4859864.72997914,736812.98947781,28566.194553276,520958.101917994,534798.766201627
2599640.46042327,1854939.31144154,1432997.32747332,1716566.08968161,1254146.46230678,2900096.9503065,3055965.12279274,3253384.07606221,1524904.83342827,669655.799347229,625332.029777855,295026.775386692,663633.843417989,435387.385064384,184921.906096783,429809.345622869,660996.961194117,1001139.21304897,326599.400209402,572051.06837952,278670.999266468,585231.46743041,3511780.31365136,3366035.6631216,1350927.90953474,986701.594912879,427718.431126724,443062.090279687,811659.551006703,2728892.58944405,4297818.35185362,1025454.81641562,34986.425020653,588673.049198451,507896.737108909
2805425.16820818,1693535.87933798,1467611.00832637,1810334.26406971,1239067.23049521,3294599.01167539,3147808.73572566,3035659.70150317,1427335.85906015,889504.305773042,747226.122374818,369890.927302502,722940.398464878,515732.075151659,176183.816567931,428541.445036271,714767.032331102,884784.051328006,263582.00770779,559487.32678037,262704.20089724,567801.513671099,4025826.2624851,3434910.34674713,1333823.51914336,869046.56189611,423179.785464267,353577.413183081,668465.683403778,2450588.20330859,5017673.03918598,1044690.05525685,30160.8991271468,502955.460197197,516941.054223172
2974421.67941173,1558908.72255457,1436824.73051502,2098687.30209502,1388058.06535436,3176732.01960279,3166979.48532063,3223324.47894707,1273897.77389658,555692.501030626,763941.941982145,299514.7032309,746751.956421956,521415.684354252,141490.008773558,489344.018009013,848196.521908357,939746.191806054,288314.414724134,619358.464903388,230851.944878448,806981.1793851,4355631.73705595,3265012.00769629,1385501.62464979,895934.485186675,465611.310591369,890190.634384504,792304.602059844,2910444.6954626,5746107.68687891,942895.133750028,31939.3801531492,447454.753453798,526449.350604923
2737563.08735708,1698593.44598966,1170724.44788985,1734690.67411788,1211143.95386162,2988004.57201963,2834265.13052538,2918412.29152499,1224660.34203408,673332.066274128,848005.347442721,329275.904705596,654262.253619949,486255.829071024,190877.492701774,596820.95113833,879500.965671357,844068.918257279,274758.560685287,509596.493640909,272921.055572977,713857.608833007,4324249.20410662,3187623.00713947,1178246.65881985,899942.353866132,333647.573601262,320542.435782137,701530.865130139,2830337.61990216,4642614.04664216,962271.063490693,33104.4151679595,462431.662694713,529372.48032361
2960925.26928461,1587083.82131479,1453812.5044532,1801104.30698673,1170408.08346354,3409706.70117582,2903904.36739867,3164191.56865173,1415466.79726775,869485.617242647,666583.691246083,332824.997540735,713004.368915261,592001.011544377,165569.311360404,483934.888075727,823164.942479408,959631.520358206,250861.594876734,519991.497616144,259259.919112489,819750.268384309,4286307.52047397,3762807.88448459,1339561.90001025,918731.096729781,427499.418746209,415739.41088027,747219.455294319,2877628.90698167,5102517.04451955,1768205.99149171,31288.1437766611,504430.385213298,540627.525527491
2722853.19533147,1950065.71060088,1911064.56847374,2347812.43946201,1351545.03678741,2926894.21824447,3012310.73635226,2817695.8947181,1303814.38735267,694314.377244232,588410.771906142,318612.198352309,749051.654321203,483364.672948743,343237.414906762,535017.10002224,757211.099884829,798646.04004397,309863.329831795,604613.383900409,266307.713525623,666087.629809377,4333907.04633368,3404301.70719018,1315257.96754222,926077.136007211,447185.338923158,528199.124442948,945170.000101114,2871910.56653311,4789273.29884285,934022.419464909,34268.6893495967,575398.218215389,581334.395645842
3038761.22905854,1639389.75769693,1627823.82199795,1925666.17353756,1305116.09571814,3047311.54333722,3035744.08615233,2870602.41346163,1376741.49511275,815267.413915261,590337.900728095,365296.659939431,684275.288441901,607452.499614731,163980.385274602,472244.282806223,785663.035348221,837444.610217646,255363.303581196,638931.709117736,298553.270517208,764192.941811276,4209406.25252077,3988331.86969903,1461615.19673827,906046.313058657,428530.564933476,615391.78746781,891542.553681332,2729345.41170001,4932613.66745062,865569.778149264,33140.3070505171,377548.21680586,565471.76650487
2822377.44805801,1526473.77142445,1325535.52616531,1780566.17559297,1166017.82378956,3198040.73857923,3716769.19208552,2811876.41848152,1280074.1182941,839835.356078912,638238.854865947,353314.159158667,908630.673550404,559196.200946729,182137.457158049,486723.109041891,622533.638183588,988283.164210449,277470.61131686,500740.142716384,257364.999795511,770141.640438162,4161427.23992891,3311788.76726242,1340439.87643391,1160472.94253387,413238.583353065,458587.975711009,756560.468883668,2625958.28578999,5074302.13920632,885630.900866429,26548.5839800332,484165.233767241,536374.92053228
2763948.82942048,1649864.71734584,1641894.42944563,1846113.84830732,1307484.58228964,2773301.02454896,2939968.52320995,2750426.39916403,1290262.67834997,737101.299365459,619221.740106855,379777.768422044,641363.718051139,509203.848916752,166703.237044541,446942.930113462,943089.27989334,905986.240997964,275886.091635679,498480.834930701,272355.001572661,704022.637447753,4396170.57091277,3411253.20756012,1860831.01902113,900243.632459732,461747.579964446,446327.437502942,778712.159164434,2365705.05489252,5552373.84820584,1684049.93434727,33322.8193040264,520642.496746334,557669.440761731
2347464.89011693,1620469.96139257,1473517.02631171,1767719.79666095,1098113.0653201,2138150.66409268,2961019.63172558,2945776.26688541,1373141.63037405,787741.068276762,647213.968916632,356122.263474906,601166.025786727,420489.909186094,151805.195486947,470443.334512327,765408.161624964,933475.282293489,254973.876759305,495685.0547013,258463.907600847,691883.11514575,4033571.58816904,3621013.19591949,1340566.81566912,953929.930990153,433192.321879862,401884.920640204,814658.495257082,2611690.65176957,5037815.22834559,912510.542082557,30846.1940956328,489262.847337061,509425.284466982
2960277.18513155,1804563.4240773,1350931.22140978,1746280.01623769,1214840.06647015,3514566.28108579,3040928.21257133,3033990.15163095,1508911.31157694,774853.054035738,570676.218036639,370292.71047013,653835.531349208,537963.322947601,154974.360758827,356331.806615619,699815.833508142,845011.071004088,251921.222577607,613579.33501171,289599.312233746,673569.074662031,4018245.99046778,3341608.61712701,1381592.03387758,999671.648740428,437980.84950269,630896.012657263,693140.289209691,2435420.32281503,4722017.63069711,846106.057836504,30146.2771498723,521946.567447854,526664.085246779
2647590.72007533,1682737.63804022,1432154.37503375,1630498.05088803,1254576.00321944,3160187.3482144,2901614.49014179,3161221.06855912,1207748.29685822,680316.660587642,686712.705533621,305943.615932361,603092.999339076,434982.729092342,178579.656128744,586214.723776278,826662.654821205,969538.17669818,287074.975576375,625128.777596915,290248.153159571,655795.35438271,3768506.34611997,3500179.80938413,1378865.26047122,1045806.58313807,466986.954036847,418220.833942634,741493.039935313,2546223.87920439,5160592.70475854,1015422.06370231,35221.3970761236,628788.020119239,505947.971093825
2819194.27263403,1796415.74576686,1593015.66591635,2183801.23543183,1172238.34869344,3316684.41624348,3068511.16543873,3070182.35491656,1394623.3883353,826625.284239324,588420.429521765,317197.803835856,639977.671313589,490459.819269713,194064.836775237,484584.34683897,796508.056843202,918459.674717949,302714.78288252,608841.335866236,278412.923827884,807136.122781221,4296113.60030667,3854528.80303533,1530679.62821954,992341.258429333,451096.015053189,721996.667975567,922059.729393364,2786691.40779253,4332905.71283307,989741.838620041,33374.6726033367,557614.272246846,587665.195842785
