"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
1423641.96059854,1688789.68464606,2209255.91050426,815667.824057027,845414.74258816,1283928.37192616,1346935.44401379,2164297.10528488,1675627.17839247,943113.591965521,414021.2703323,294468.804042294,407029.7894366,248993.73253875,75554.1098728479,75616.2950526399,256632.690431182,244065.788313365,147016.05404715,249325.756766142,325213.077643435,299865.07135839,1628503.62962568,2957654.00523522,1163135.50708205,594189.149462328,151434.196334814,433028.683539522,330822.809625211,878848.914347938,1295588.61296929,1490380.62773803,56539.7042727427,239344.145840931,252219.798549083
1608330.14472239,1413133.10267764,2290154.04963432,845447.101667304,875102.737852775,1620767.23086339,1533080.99299893,1896234.29632272,1421026.60899991,1023375.04823789,486524.988649209,339849.96520607,531677.176709888,385482.094396868,92673.4580710151,77911.2788587713,279068.153060261,272332.820633442,189254.401740655,208575.707481462,341025.457425943,306583.95684361,1440964.9821576,2790276.69920643,1177647.69926076,613572.97063678,160320.619028333,351718.359187251,94039.9428905126,924229.821314368,1485227.5386633,814902.664169653,66206.8905934823,289751.327988809,240296.646490807
1664914.56621078,1299027.6255872,1288439.5986914,561838.709460379,705244.346893112,1191780.61057792,1491661.05625599,1965530.50256084,1031464.87804851,835158.404357886,470952.585800323,276535.10188089,485920.105681516,288040.961912529,74083.0614563242,100565.869173451,326754.083555757,207837.342801415,151575.374054654,238954.84388794,344417.572662965,313639.238726071,1640136.83239016,2814880.30889985,1512238.97326477,555836.380143656,131618.811063918,247641.476818945,104810.742124523,825263.913270274,2688879.7852581,1664874.9057144,44221.5110836328,92702.8146840471,215696.407019913
1485327.98123706,1351193.81838448,1771387.32683595,641920.727613057,775601.098493017,1679698.07937004,1367862.0600374,2069972.26718574,1295413.88698159,1106336.92078306,666460.9754046,268938.160820021,475898.965363098,340339.981932851,96899.4401311935,82273.9611598249,353383.21545682,278315.157910342,154807.386883549,276706.962036581,323179.121702484,351672.456749696,1593177.23505761,3043248.58983613,1141415.58659549,598090.908543061,161397.678924685,252341.625256042,130911.339658947,1051633.23765147,1017765.23878604,976945.039886784,55919.8436666238,123432.132367582,226762.333725179
1630330.31974432,1461471.48981004,1892013.06900489,1024888.30300391,816275.807332711,1418911.99315835,1323476.86498883,2015441.72192176,1471920.70191418,1034782.37470992,421301.349290629,260025.497828375,446739.997136062,319687.818878473,74574.8746897298,61036.4707027371,251412.724626067,265147.819932727,161871.251420557,287592.946049488,368210.525958295,315988.064230063,1342568.80913046,2631506.31841746,1334236.31630093,920712.310083647,159732.485050856,165942.386759519,165126.412496197,948672.569039597,1180529.52454714,899618.6188293,53561.1031922022,290527.16581502,226560.821855265
1694955.88651427,1466053.93687795,2387668.86931903,551387.80662925,786747.578234606,1405819.29493795,1433074.46813286,1968497.01246737,1159801.78293646,1034019.47025443,641461.639240791,300704.454533335,688035.321374388,292905.001224051,89278.9242997012,70969.560148677,278383.447699939,204070.497238686,169325.570767251,236312.895648813,338882.333388125,278357.996884853,1474139.56771055,2797131.39301249,1136564.69087581,528425.872849006,154113.787018331,215248.543231939,124826.553370439,775273.741300682,1068224.62797834,1391527.0590112,42542.6011053351,225309.334445072,226380.007219394
1461414.25610076,1665787.40160506,1936672.1365772,837395.871067666,863125.979182359,1284419.16701186,1546094.42319683,1934807.43893596,1269974.80842193,864772.583249357,431672.260811166,301607.542429093,438840.84613544,252502.491633386,94541.8798159137,79343.9704302127,266930.556986965,214541.577826063,156663.17845864,249876.342002557,362133.988176926,299871.022571388,1457862.45693062,2675807.49173388,1096744.85266227,514018.132472318,177287.959283605,322975.342998604,95522.6271712431,933805.19529629,1180605.07470273,1362599.71038034,47877.3497653828,108948.312957431,235753.710282317
1527437.61605703,1571878.15416596,2881214.30267966,880726.279234066,737780.247394403,1388083.15190535,1383308.88851332,1887925.65781229,1409072.07613787,1133874.58281857,532647.379682336,288293.895573061,422296.99778778,285009.694493733,94032.0553232162,113786.824036083,318856.211474346,236920.245976007,150275.107483443,267889.389447914,411007.337743703,350851.112456923,1702064.50067571,2818220.91568514,1118018.59638082,582692.462148418,235077.041706225,218171.432053231,183608.61222711,1014215.01445747,1061549.23476487,1583015.06833949,71222.9468851349,103340.175331177,224281.579261933
1607564.68406467,1542102.06724324,2367313.60945582,680806.605928746,734757.379509461,1379435.95672922,1338314.30930213,1981289.9329629,1253499.09167936,981466.623934287,373932.125725179,266211.382282542,476638.271718226,261687.639070748,79278.0093626184,57466.4959421328,260126.014385665,252561.348425076,154261.374251021,252828.914619946,345285.817715733,314906.640744664,1445916.62004322,2731654.20943132,1204747.92930717,498273.410214038,168317.441725916,224193.345019439,124326.287324817,1287943.24883611,1152982.61082492,1438852.07171837,33334.019096757,103969.369204175,233370.575246989
1372932.18849522,1607338.10082439,1415681.76327293,695980.110833779,920334.352518353,1371334.6607921,1382714.82562172,2065900.86423088,1314607.68088461,938555.642390399,457676.838012918,293655.801636573,428525.740440992,249113.442617339,87805.4248476525,75818.023204179,271386.045471761,251097.194685334,168393.995057647,237367.809123259,358625.772880075,306334.822447251,1199843.8634533,2720516.39478879,1132842.48295961,557458.502241932,167682.781850947,223921.475212136,101758.288479274,998575.24549081,1069881.41733066,1486288.51500402,58997.0703775947,129613.145676686,220115.202669305
