"","GIS_STATION","Lat","Long"
"248","N-06",59.3307322857143,-164.657478857143
"249","N-07",59.3297068571429,-164.007836
"250","N-18",59.3348254899498,-168.56313959799
"251","N-19",59.3367869787894,-169.237825581997
"252","N-20",59.3336394923858,-169.869968201354
"253","N-21",59.332953505618,-170.53919533583
"254","N-22",59.3310363880026,-171.180890662412
"255","N-23",59.3335365486187,-171.834846431788
"256","N-24",59.3322462411953,-172.501359090715
"257","N-25",59.3369149249249,-173.153163834604
"258","N-26",59.3334522102945,-173.802097748417
"259","N-27",59.3280568552535,-174.437321994857
"260","N-28",59.3313478480553,-175.107131533988
"261","N-29",59.3346529083333,-175.771333875
"262","N-30",59.3373555027933,-176.381050879888
"263","N-31",59.3314071101871,-177.06011012474
"264","O-01",59.6650054954955,-167.968893783784
"265","O-02",59.6591851428571,-167.289194285714
"266","O-03",59.6588917142857,-166.632232857143
"267","O-04",59.6318402857143,-165.947458
"268","O-18",59.6621403361344,-168.611709983193
"269","O-19",59.6695622439586,-169.265680529344
"270","O-20",59.6673704950115,-169.921825533384
"271","O-21",59.6679084938582,-170.582451326075
"272","O-22",59.667255157397,-171.248059140226
"273","O-23",59.6646854577295,-171.898885338164
"274","O-24",59.6662169945877,-172.572409581344
"275","O-25",59.6688177186387,-173.235584305501
"276","O-26",59.6693153206841,-173.868826231962
"277","O-27",59.6633873359988,-174.451121689619
"278","O-28",59.6645550229583,-175.10983069039
"279","O-29",59.6700299755202,-175.865847796818
"280","O-30",59.6697424811594,-176.54101257971
"281","O-31",59.6680328672316,-177.143738644068
"282","P-01",60.0032729411765,-167.989878823529
"283","P-18",60.0049899541284,-168.644187278287
"284","P-19",59.9953753954802,-169.320783073446
"285","P-20",60.000661916271,-169.96687920587
"286","P-21",60.0029480476312,-170.628820694091
"287","P-22",59.9992360268542,-171.303430414322
"288","P-23",59.993356405959,-171.957621230912
"289","P-24",59.9959562520695,-172.619699066639
"290","P-25",60.0043922506878,-173.297880410935
"291","P-26",60.00277833365,-173.949260799924
"292","P-27",60.0018866578947,-174.59874872807
"293","P-28",59.998937917924,-175.260598267954
"294","P-29",59.9984963206714,-175.927117570671
"295","P-30",60.0019779254695,-176.711458389084
"296","P-31",60.0018145041322,-177.219367024793
"297","P-32",60.0031309455371,-177.901107897126
"298","Q-01",60.3292855882353,-167.980547352941
"299","Q-02",60.3361835294118,-167.285956470588
