"X","Y","L1","L2"
847.529516869774,6054.61133790992,1,1
847.819164748832,6055.27176625037,1,1
848.079900290637,6055.81699434136,1,1
848.317454604843,6056.17163709241,1,1
848.65301488219,6056.7226594861,1,1
848.988511359535,6057.27243448101,1,1
849.391169872671,6057.94083904,1,1
849.76870512373,6058.41893622699,1,1
850.144268215824,6058.93440395853,1,1
850.624353214083,6059.57060914783,1,1
850.972729509471,6059.93525193095,1,1
851.277002769466,6060.40781449807,1,1
851.523525539021,6061.13901972077,1,1
851.741137579575,6061.7562579485,1,1
851.911630020012,6062.51954989436,1,1
851.881650810692,6062.93077173985,1,1
851.920728125863,6063.42206330497,1,1
852.064255387056,6064.03361742822,1,1
852.51930500739,6065.00581390626,1,1
852.707850739253,6065.50793435425,1,1
852.969272764612,6066.05238687958,1,1
853.266988337042,6066.6000943796,1,1
853.703467704281,6067.30797572655,1,1
853.906392999967,6067.6236218116,1,1
854.175220427494,6068.0570481422,1,1
854.59844105283,6068.42585139644,1,1
855.140554522625,6068.7289808532,1,1
855.5695894382,6069.02287354044,1,1
855.953175218382,6069.42788774038,1,1
856.302412990202,6069.79065070242,1,1
856.505004601297,6070.10639701055,1,1
856.781360473213,6070.42760045403,1,1
857.223795471868,6071.06091066314,1,1
857.607136059135,6071.46443080518,1,1
857.958996318948,6071.79088809705,1,1
858.382637097486,6072.15971510643,1,1
858.76674415677,6072.563814511,1,1
859.18716833707,6072.97085045616,1,1
860.127938255626,6073.9790458514,1,1
860.50085705926,6074.53215318442,1,1
860.868676335926,6075.1599576462,1,1
861.337297084548,6075.94649839184,1,1
861.621275616621,6076.68026473925,1,1
861.810122825516,6077.18293492099,1,1
862.068539670082,6077.76502000838,1,1
862.26532106302,6078.1553244567,1,1
862.384410516993,6078.57781328457,1,1
862.516684123544,6079.33874739821,1,1
862.523943941264,6079.75180706236,1,1
862.57232635288,6080.13148724261,1,1
862.720615440034,6080.66760188117,1,1
862.606853379473,6081.18520425828,1,1
862.500074021076,6081.62833318991,1,1
862.07713729586,6082.2728691165,1,1
861.77004049388,6082.88881736934,1,1
861.505254977199,6083.43355714123,1,1
861.151084901146,6084.15876002703,1,1
860.748470516687,6084.54227837405,1,1
860.350011675246,6084.85027497155,1,1
859.9092827684,6085.23076679451,1,1
859.436367752268,6085.53414722907,1,1
859.078304025084,6085.80831077149,1,1
858.539005766839,6085.99346803308,1,1
857.733211055146,6086.23416503139,1,1
857.158824507092,6086.3799093876,1,1
856.438520740884,6086.4766797721,1,1
855.757473166397,6086.53907645245,1,1
855.269509356543,6086.54055633596,1,1
854.445449029454,6086.51807414616,1,1
853.655816606061,6086.53429458764,1,1
853.012053567203,6086.59966165053,1,1
852.36646466965,6086.70203400333,1,1
851.680720959198,6086.83975771287,1,1
850.794427616929,6087.14908440064,1,1
850.150977931166,6087.21398409927,1,1
849.326249132375,6087.19113656567,1,1
848.352619514461,6087.1568495408,1,1
846.503787925534,6087.28325748148,1,1
845.705869615687,6087.41188601012,1,1
845.022591195372,6087.51113742054,1,1
844.532094255702,6087.5506578841,1,1
844.000542790321,6087.62374388875,1,1
843.280175793174,6087.72079734373,1,1
842.674297176291,6087.78831227543,1,1
841.302410331981,6088.062780196,1,1
840.463959183117,6088.2259445918,1,1
839.786648057908,6088.25178134935,1,1
838.996871118388,6088.26791551128,1,1
837.980998745683,6088.30557176594,1,1
836.886040919003,6088.3749970264,1,1
835.947607457095,6088.38054354367,1,1
835.155161684872,6088.4341981565,1,1
834.555241937462,6088.42737641082,1,1
833.762776478213,6088.48262476154,1,1
833.119203047882,6088.54732115798,1,1
832.516634150945,6088.57766331247,1,1
831.878605139138,6088.56837057698,1,1
830.182660845938,6088.66784255824,1,1
829.392183933434,6088.68478285911,1,1
828.612013048364,6088.58968093586,1,1
827.976782903118,6088.5432106158,1,1
827.240948260637,6088.33862449897,1,1
826.65934822079,6088.06954086113,1,1
826.016761873786,6087.60938585587,1,1
825.483993571265,6087.19405574553,1,1
824.957460657433,6086.70460249497,1,1
824.280006803033,6086.20437371132,1,1
823.465351790509,6085.54350972841,1,1
822.791235524857,6085.00581326068,1,1
